name,level,score,customer_id,analysis_id,skill_type
Communication,Expert,90.0,17,1760256028351,soft_skills
Leadership,Expert,90.0,17,1760256028351,soft_skills
Creativity,Expert,90.0,17,1760256028351,soft_skills
Detail-oriented,Advanced,85.0,17,1760256028351,soft_skills
Attention to detail,Advanced,85.0,17,1760256092952,soft_skills
Creative problem solving,Advanced,80.0,17,1760256092952,soft_skills
Project management,Expert,90.0,17,1760256092952,soft_skills
Partnership building,Advanced,80.0,17,1760256092952,soft_skills
Leadership,Advanced,85.0,17,1760256092952,soft_skills
Strategic Partnership,Expert,90.0,18,1760426276249,soft_skills
Team Leadership & Development,Advanced,85.0,18,1760426276249,soft_skills
Market Expansion & Network Building,Expert,88.0,18,1760426276249,soft_skills
Stakeholder Communication,Expert,85.0,19,1760430218242,soft_skills
Problem Solving,Advanced,80.0,19,1760430218242,soft_skills
Critical Thinking,Advanced,80.0,19,1760430218242,soft_skills
Facilitation,Advanced,75.0,19,1760430218242,soft_skills
Documentation,Advanced,80.0,19,1760430218242,soft_skills
Stakeholder Communication,Advanced,80.0,19,1760430363155,soft_skills
Problem Solving,Advanced,80.0,19,1760430363155,soft_skills
Critical Thinking,Advanced,80.0,19,1760430363155,soft_skills
Facilitation,Intermediate,65.0,19,1760430363155,soft_skills
Documentation,Advanced,75.0,19,1760430363155,soft_skills
Problem-solving,Expert,90.0,20,1760435526983,soft_skills
Team Leadership,Expert,85.0,20,1760435526983,soft_skills
Cross-functional Collaboration,Advanced,75.0,20,1760435526983,soft_skills
Mentoring,Advanced,70.0,20,1760435526983,soft_skills
Stakeholder Communication,Advanced,90.0,19,1760438271930,soft_skills
Problem Solving,Advanced,88.0,19,1760438271930,soft_skills
Critical Thinking,Advanced,88.0,19,1760438271930,soft_skills
Facilitation,Advanced,85.0,19,1760438271930,soft_skills
Documentation,Advanced,90.0,19,1760438271930,soft_skills
Analytical thinking,Expert,90.0,21,1760438794842,soft_skills
Communication,Expert,90.0,21,1760438794842,soft_skills
Mentoring,Advanced,80.0,21,1760438794842,soft_skills
Attention to detail,Expert,90.0,21,1760438794842,soft_skills
Collaboration,Advanced,80.0,21,1760438794842,soft_skills
Stakeholder Communication,Advanced,80.0,19,1760502219404,soft_skills
Problem Solving,Advanced,80.0,19,1760502219404,soft_skills
Critical Thinking,Advanced,80.0,19,1760502219404,soft_skills
Facilitation,Advanced,80.0,19,1760502219404,soft_skills
Documentation,Advanced,80.0,19,1760502219404,soft_skills
Fast learner,Advanced,80.0,22,1760582645660,soft_skills
Team work skills,Advanced,75.0,22,1760582645660,soft_skills
Bilingual,Intermediate,60.0,22,1760582645660,soft_skills
Analytical Thinking,Advanced,85.0,10,1760600776245,soft_skills
Communication,Advanced,80.0,10,1760600776245,soft_skills
Attention to Detail,Intermediate,75.0,10,1760600776245,soft_skills
Advertising,Intermediate,70.0,24,1760602879997,soft_skills
Customer Experience,Expert,90.0,24,1760602879997,soft_skills
Global Business,Advanced,80.0,24,1760602879997,soft_skills
Customer Service,Expert,90.0,24,1760603841007,soft_skills
Communication,Expert,90.0,24,1760603841007,soft_skills
Team Leadership,Advanced,85.0,24,1760603841007,soft_skills
Coaching & Mentoring,Advanced,80.0,24,1760603841007,soft_skills
Teamwork,Advanced,80.0,25,1760603963379,soft_skills
Communication,Advanced,80.0,25,1760603963379,soft_skills
Adaptability,Advanced,75.0,25,1760603963379,soft_skills
Quick learning,Advanced,75.0,25,1760603963379,soft_skills
Time management,Intermediate,65.0,25,1760603963379,soft_skills
Communication,Advanced,70.0,25,1760604049392,soft_skills
Adaptability,Advanced,65.0,25,1760604049392,soft_skills
Work Ethic,Advanced,70.0,25,1760604049392,soft_skills
Teamwork,Intermediate,60.0,25,1760604049392,soft_skills
Customer Service,Intermediate,60.0,25,1760604049392,soft_skills
Collaboration Skill,Intermediate,70.0,26,1760604168512,soft_skills
Public Speaking Skill,Beginner,50.0,26,1760604168512,soft_skills
Problems Solving Skill,Intermediate,75.0,26,1760604168512,soft_skills
English Reading and Writing Skill,Advanced,85.0,26,1760604168512,soft_skills
English Listening and Speaking Skill,Advanced,90.0,26,1760604168512,soft_skills
Collaboration Skill,Intermediate,70.0,27,1760604168512,soft_skills
Public Speaking Skill,Beginner,50.0,27,1760604168512,soft_skills
Problems Solving Skill,Intermediate,75.0,27,1760604168512,soft_skills
English Reading and Writing Skill,Advanced,85.0,27,1760604168512,soft_skills
English Listening and Speaking Skill,Advanced,90.0,27,1760604168512,soft_skills
Collaboration Skill,Advanced,80.0,26,1760604285700,soft_skills
Public Speaking Skill,Intermediate,60.0,26,1760604285700,soft_skills
Problem Solving Skill,Advanced,75.0,26,1760604285700,soft_skills
English Reading and Writing Skill,Advanced,85.0,26,1760604285700,soft_skills
English Listening and Speaking Skill,Advanced,85.0,26,1760604285700,soft_skills
Collaboration Skill,Advanced,80.0,27,1760604285700,soft_skills
Public Speaking Skill,Intermediate,60.0,27,1760604285700,soft_skills
Problem Solving Skill,Advanced,75.0,27,1760604285700,soft_skills
English Reading and Writing Skill,Advanced,85.0,27,1760604285700,soft_skills
English Listening and Speaking Skill,Advanced,85.0,27,1760604285700,soft_skills
Advertising,Intermediate,60.0,24,1760604366886,soft_skills
Customer Experience,Expert,90.0,24,1760604366886,soft_skills
Global Business,Advanced,75.0,24,1760604366886,soft_skills
Communication,Expert,95.0,24,1760604366886,soft_skills
Coaching,Expert,90.0,24,1760604366886,soft_skills
Communication,Advanced,85.0,25,1760604683682,soft_skills
Adaptability,Advanced,80.0,25,1760604683682,soft_skills
Quick learning,Advanced,80.0,25,1760604683682,soft_skills
Teamwork,Advanced,85.0,25,1760604683682,soft_skills
Service orientation,Advanced,85.0,25,1760604683682,soft_skills
Customer Service,Expert,90.0,24,1760673369895,soft_skills
Communication,Expert,90.0,24,1760673369895,soft_skills
Leadership,Advanced,80.0,24,1760673369895,soft_skills
Communication,Expert,90.0,29,1760684989852,soft_skills
Strategic Planning,Advanced,80.0,29,1760684989852,soft_skills
Communication,Advanced,85.0,30,1760688616787,soft_skills
Teamwork,Advanced,85.0,30,1760688616787,soft_skills
Problem-solving,Intermediate,70.0,30,1760688616787,soft_skills
English communication,Intermediate,70.0,31,1760688676646,soft_skills
Social communication,Advanced,75.0,31,1760688676646,soft_skills
Presentation and teamwork,Advanced,80.0,31,1760688676646,soft_skills
Problem-solving ability,Intermediate,70.0,31,1760688676646,soft_skills
Communication & Teamwork,Advanced,80.0,32,1760688663808,soft_skills
Time Management & Organization,Advanced,75.0,32,1760688663808,soft_skills
Adaptability,Intermediate,70.0,32,1760688663808,soft_skills
Teamwork & Collaboration,Advanced,80.0,33,1760688698580,soft_skills
Communication & Presentation Skills,Advanced,75.0,33,1760688698580,soft_skills
Rapid Learning & Adaptability,Intermediate,70.0,33,1760688698580,soft_skills
Creative Thinking,Advanced,80.0,34,1760688700298,soft_skills
Teamwork,Advanced,85.0,34,1760688700298,soft_skills
Time Management,Advanced,80.0,34,1760688700298,soft_skills
Adaptability,Intermediate,70.0,34,1760688700298,soft_skills
Pressure Management,Intermediate,70.0,34,1760688700298,soft_skills
Leadership,Advanced,75.0,35,1760688816460,soft_skills
Teamwork,Advanced,70.0,35,1760688816460,soft_skills
Communication,Intermediate,60.0,35,1760688816460,soft_skills
Public Speaking,Intermediate,60.0,35,1760688816460,soft_skills
Creativity,Intermediate,70.0,36,1760688833742,soft_skills
Sociable,Intermediate,70.0,36,1760688833742,soft_skills
Willingness to learn,Intermediate,70.0,36,1760688833742,soft_skills
Creativity,Intermediate,70.0,36,1760688867445,soft_skills
Communication,Intermediate,65.0,36,1760688867445,soft_skills
Learning Agility,Intermediate,60.0,36,1760688867445,soft_skills
Effective planning skills,Advanced,75.0,37,1760688872683,soft_skills
Professional and flexible communication,Advanced,80.0,37,1760688872683,soft_skills
Dedicated customer service,Advanced,78.0,37,1760688872683,soft_skills
Persuasive sales skills,Advanced,80.0,37,1760688872683,soft_skills
Tailored program consultation,Intermediate,65.0,37,1760688872683,soft_skills
Creativity,Intermediate,65.0,36,1760688898157,soft_skills
Communication,Intermediate,60.0,36,1760688898157,soft_skills
Adaptability,Intermediate,60.0,36,1760688898157,soft_skills
Communication,Intermediate,60.0,38,1760688898082,soft_skills
Presentation,Intermediate,60.0,38,1760688898082,soft_skills
Teamwork,Intermediate,60.0,38,1760688898082,soft_skills
Problem Solving,Advanced,80.0,39,1760688894921,soft_skills
Creativity,Advanced,80.0,39,1760688894921,soft_skills
Time Management,Advanced,75.0,39,1760688894921,soft_skills
Team Work,Advanced,75.0,39,1760688894921,soft_skills
Communication,Advanced,80.0,39,1760688894921,soft_skills
Adaptability,Advanced,75.0,39,1760688894921,soft_skills
Self Motivation,Advanced,80.0,39,1760688894921,soft_skills
Teamwork,Advanced,85.0,40,1760688908663,soft_skills
Planning & Time Management,Intermediate,80.0,40,1760688908663,soft_skills
Communication & Active Listening,Advanced,85.0,40,1760688908663,soft_skills
Presentation Skills,Intermediate,80.0,40,1760688908663,soft_skills
Communication,Intermediate,60.0,41,1760688924773,soft_skills
Adaptability,Intermediate,60.0,41,1760688924773,soft_skills
Decision-making,Beginner,50.0,41,1760688924773,soft_skills
Mentorship,Beginner,50.0,41,1760688924773,soft_skills
Teamwork,Advanced,70.0,42,1760688938599,soft_skills
Communication,Advanced,70.0,42,1760688938599,soft_skills
Time Management,Advanced,70.0,42,1760688938599,soft_skills
Organizational Skills,Advanced,70.0,42,1760688938599,soft_skills
Proactive Mindset,Intermediate,60.0,42,1760688938599,soft_skills
Result-Oriented,Intermediate,60.0,42,1760688938599,soft_skills
Problem-Solving,Advanced,80.0,43,1760688951069,soft_skills
Time Management,Advanced,75.0,43,1760688951069,soft_skills
Team Collaboration,Advanced,80.0,43,1760688951069,soft_skills
Presentation Skills,Advanced,75.0,43,1760688951069,soft_skills
Negotiation Skills,Intermediate,65.0,43,1760688951069,soft_skills
Networking,Intermediate,65.0,43,1760688951069,soft_skills
Sales Strategies,Intermediate,60.0,43,1760688951069,soft_skills
Communication,Advanced,85.0,44,1760688965820,soft_skills
Teamwork skills,Advanced,80.0,44,1760688965820,soft_skills
Communication,Advanced,80.0,45,1760688976521,soft_skills
Teamwork,Advanced,75.0,45,1760688976521,soft_skills
Teamwork & Collaboration,Advanced,80.0,33,1760688955200,soft_skills
Communication & Presentation Skills,Advanced,80.0,33,1760688955200,soft_skills
Rapid Learning & Adaptability,Advanced,80.0,33,1760688955200,soft_skills
Teamwork,Advanced,85.0,40,1760688992563,soft_skills
Planning & Time Management,Advanced,80.0,40,1760688992563,soft_skills
Communication & Active Listening,Advanced,85.0,40,1760688992563,soft_skills
Presentation Skills,Intermediate,75.0,40,1760688992563,soft_skills
Attention to Detail,Advanced,90.0,46,1760688997052,soft_skills
Problem Solving,Advanced,85.0,46,1760688997052,soft_skills
Analytical Skills,Advanced,85.0,46,1760688997052,soft_skills
Communication,Intermediate,70.0,46,1760688997052,soft_skills
Creativity,Advanced,80.0,46,1760688997052,soft_skills
Negotiation Skills,Advanced,85.0,43,1760689005788,soft_skills
Time Management,Advanced,80.0,43,1760689005788,soft_skills
Presentation Skills,Advanced,85.0,43,1760689005788,soft_skills
Team Collaboration,Advanced,80.0,43,1760689005788,soft_skills
Problem-Solving,Advanced,80.0,43,1760689005788,soft_skills
Networking,Intermediate,70.0,43,1760689005788,soft_skills
Communication,Advanced,80.0,44,1760689008868,soft_skills
Teamwork,Advanced,80.0,44,1760689008868,soft_skills
Sales Strategies,Intermediate,70.0,43,1760689051039,soft_skills
Negotiation Skills,Intermediate,65.0,43,1760689051039,soft_skills
Problem-Solving,Advanced,80.0,43,1760689051039,soft_skills
Time Management,Advanced,85.0,43,1760689051039,soft_skills
Presentation Skills,Intermediate,75.0,43,1760689051039,soft_skills
Networking,Intermediate,70.0,43,1760689051039,soft_skills
Market Research,Intermediate,70.0,43,1760689051039,soft_skills
Team Collaboration,Advanced,80.0,43,1760689051039,soft_skills
Communication & Networking,Advanced,80.0,47,1760689141312,soft_skills
Organization & Time Management,Advanced,85.0,47,1760689141312,soft_skills
Responsibility & Pressure Handling,Advanced,80.0,47,1760689141312,soft_skills
Communication Skills,Expert,95.0,48,1760689163736,soft_skills
Teamwork Skills,Expert,90.0,48,1760689163736,soft_skills
English,Intermediate,70.0,49,1760689298587,soft_skills
Teamwork,Intermediate,60.0,49,1760689298587,soft_skills
Presentation,Intermediate,60.0,49,1760689298587,soft_skills
Planning,Intermediate,60.0,49,1760689298587,soft_skills
Problem solving,Intermediate,60.0,49,1760689298587,soft_skills
Internal & External communication,Intermediate,60.0,49,1760689298587,soft_skills
Using AI effectively,Intermediate,65.0,49,1760689298587,soft_skills
Communication,Expert,95.0,50,1760689320596,soft_skills
Leadership,Expert,90.0,50,1760689320596,soft_skills
Problem Solving,Advanced,85.0,50,1760689320596,soft_skills
Teamwork,Advanced,85.0,50,1760689320596,soft_skills
Negotiation,Advanced,80.0,50,1760689320596,soft_skills
Teamwork Skills,Advanced,75.0,51,1760689480835,soft_skills
Communication & Presentation,Advanced,70.0,51,1760689480835,soft_skills
Adaptability,Expert,85.0,51,1760689480835,soft_skills
English communication,Intermediate,60.0,52,1760689493510,soft_skills
Planning,Intermediate,60.0,52,1760689493510,soft_skills
Consulting,Intermediate,55.0,52,1760689493510,soft_skills
Customer Service,Expert,90.0,53,1760689577258,soft_skills
Time Management,Advanced,80.0,53,1760689577258,soft_skills
Adaptability,Advanced,80.0,53,1760689577258,soft_skills
Initiative,Advanced,80.0,53,1760689577258,soft_skills
Content writing,Intermediate,65.0,54,1760689611457,soft_skills
Teamwork & Presentation,Advanced,80.0,54,1760689611457,soft_skills
Effective Communication,Advanced,85.0,54,1760689611457,soft_skills
English communication,Intermediate,60.0,54,1760689611457,soft_skills
Idea Pitching & Collaboration,Intermediate,70.0,55,1760689635955,soft_skills
Time Management,Intermediate,65.0,55,1760689635955,soft_skills
Communication & Storytelling,Advanced,80.0,56,1760689668723,soft_skills
Teamwork & Collaboration,Advanced,80.0,56,1760689668723,soft_skills
Creativity & Problem-solving,Intermediate,70.0,56,1760689668723,soft_skills
Time Management & Attention to Detail,Intermediate,70.0,56,1760689668723,soft_skills
Adaptability & Quick Learning,Intermediate,70.0,56,1760689668723,soft_skills
Communication & Storytelling,Advanced,85.0,56,1760689700401,soft_skills
Teamwork & Collaboration,Advanced,85.0,56,1760689700401,soft_skills
Creativity & Problem-solving,Advanced,80.0,56,1760689700401,soft_skills
Time Management & Attention to Detail,Intermediate,70.0,56,1760689700401,soft_skills
Adaptability & Quick Learning,Advanced,80.0,56,1760689700401,soft_skills
Communication & Storytelling,Advanced,75.0,56,1760689755679,soft_skills
Teamwork & Collaboration,Advanced,80.0,56,1760689755679,soft_skills
Creativity & Problem-solving,Advanced,70.0,56,1760689755679,soft_skills
Time Management & Attention to Detail,Intermediate,60.0,56,1760689755679,soft_skills
Adaptability & Quick Learning,Intermediate,65.0,56,1760689755679,soft_skills
Communication & Storytelling,Advanced,80.0,56,1760689851620,soft_skills
Teamwork & Collaboration,Advanced,75.0,56,1760689851620,soft_skills
Creativity & Problem-solving,Advanced,70.0,56,1760689851620,soft_skills
Time Management & Attention to Detail,Intermediate,60.0,56,1760689851620,soft_skills
Adaptability & Quick Learning,Advanced,70.0,56,1760689851620,soft_skills
Project Planning,Intermediate,60.0,57,1760689864326,soft_skills
Team Delegation,Intermediate,60.0,57,1760689864326,soft_skills
Communication,Advanced,80.0,57,1760689864326,soft_skills
Idea Pitching & Collaboration,Intermediate,60.0,55,1760689881294,soft_skills
Time Management,Intermediate,60.0,55,1760689881294,soft_skills
Ability to plan and manage projects,Intermediate,55.0,57,1760689912731,soft_skills
Communication and content delivery skills,Advanced,70.0,57,1760689912731,soft_skills
Ability to manage and delegate team tasks,Intermediate,60.0,57,1760689912731,soft_skills
Take a photo,Beginner,30.0,57,1760689912731,soft_skills
Public Speaking,Intermediate,70.0,58,1760878451941,soft_skills
Team Coordination,Intermediate,70.0,58,1760878451941,soft_skills
Event Planning,Intermediate,65.0,58,1760878451941,soft_skills
Bilingual Communication,Advanced,80.0,58,1760878451941,soft_skills
Administrative Support,Intermediate,65.0,58,1760878451941,soft_skills
Problem Solving,Advanced,85.0,59,1760943918829,soft_skills
Analytical Skills,Advanced,85.0,59,1760943918829,soft_skills
Customer Service,Advanced,90.0,59,1760943918829,soft_skills
Time Management,Advanced,80.0,59,1760943918829,soft_skills
Organization,Advanced,80.0,59,1760943918829,soft_skills
Inventory Management,Advanced,80.0,59,1760943918829,soft_skills
Data Entry,Intermediate,70.0,59,1760943918829,soft_skills
Problem Solving,Advanced,80.0,60,1760943981578,soft_skills
Analytical Skills,Intermediate,70.0,60,1760943981578,soft_skills
Organization,Intermediate,65.0,60,1760943981578,soft_skills
Time Management,Intermediate,65.0,60,1760943981578,soft_skills
Customer Service,Advanced,75.0,60,1760943981578,soft_skills
Social Media Management,Intermediate,60.0,60,1760943981578,soft_skills
Problem Solving,Expert,95.0,61,1760956915046,soft_skills
Attention to Detail,Advanced,85.0,61,1760956915046,soft_skills
Communication,Advanced,80.0,61,1760956915046,soft_skills
Collaboration,Advanced,80.0,61,1760956915046,soft_skills
Communication,Advanced,85.0,62,1761015801597,soft_skills
Team Collaboration,Advanced,85.0,62,1761015801597,soft_skills
Client Engagement,Advanced,80.0,62,1761015801597,soft_skills
Decision-Making,Intermediate,70.0,62,1761015801597,soft_skills
Storytelling,Intermediate,70.0,62,1761015801597,soft_skills
Cross-Cultural Adaptation,Intermediate,75.0,62,1761015801597,soft_skills
Communication,Advanced,85.0,62,1761016732393,soft_skills
Teamwork,Advanced,85.0,62,1761016732393,soft_skills
Client engagement,Intermediate,70.0,62,1761016732393,soft_skills
Requirements gathering,Intermediate,70.0,62,1761016732393,soft_skills
Adaptability,Advanced,80.0,62,1761016732393,soft_skills
Problem Solving,Expert,90.0,61,1761017207922,soft_skills
Collaboration,Advanced,80.0,61,1761017207922,soft_skills
Communication,Advanced,80.0,61,1761017207922,soft_skills
Attention to Detail,Advanced,75.0,61,1761017207922,soft_skills
Risk Management,Advanced,75.0,61,1761017207922,soft_skills
Problem Solving,Expert,90.0,61,1761299730848,soft_skills
Collaboration,Advanced,80.0,61,1761299730848,soft_skills
Communication,Advanced,80.0,61,1761299730848,soft_skills
Attention to Detail,Advanced,85.0,61,1761299730848,soft_skills
Customer Service,Expert,90.0,24,1761536612482,soft_skills
Team Leadership,Advanced,80.0,24,1761536612482,soft_skills
Communication,Expert,90.0,24,1761536612482,soft_skills
Analytical Thinking,Advanced,80.0,63,1761563204683,soft_skills
Research,Advanced,75.0,63,1761563204683,soft_skills
Communication,Intermediate,70.0,63,1761563204683,soft_skills
Research,Intermediate,60.0,64,1761711805580,soft_skills
Team collaboration,Intermediate,60.0,64,1761711805580,soft_skills
Leadership,Expert,,12,1761737685422,soft_skills
Critical Thinking,Advanced,,12,1761737685422,soft_skills
Communication,Advanced,,12,1761737685422,soft_skills
Teamwork,Advanced,,12,1761737685422,soft_skills
Collaboration,Strong,,65,1761790081236,soft_skills
Agile methodology,Proficient,,65,1761790081236,soft_skills
Mentorship,Proficient,,65,1761790081236,soft_skills
Continuous learning,Strong,,65,1761790081236,soft_skills
Communication,Outstanding,,66,1761791782304,soft_skills
Research & Analysis,Strong,,66,1761791782304,soft_skills
Project Management,Proficient,,66,1761791782304,soft_skills
Cross-cultural Collaboration,Strong,,66,1761791782304,soft_skills
Community Engagement,Proficient,,66,1761791782304,soft_skills
Strategic communication,Outstanding,,67,1761792492896,soft_skills
Stakeholder engagement,Outstanding,,67,1761792492896,soft_skills
Problem-solving,Strong,,67,1761792492896,soft_skills
Adaptability,Strong,,67,1761792492896,soft_skills
Empathy,Proficient,,67,1761792492896,soft_skills
Facilitation,Strong,,67,1761792492896,soft_skills
Stakeholder Engagement,Outstanding,,68,1762167836842,soft_skills
Communication,Strong,,68,1762167836842,soft_skills
Collaboration,Strong,,68,1762167836842,soft_skills
Leadership,Outstanding,,69,1762415067297,soft_skills
Stakeholder Engagement,Strong,,69,1762415067297,soft_skills
Strategic Planning,Outstanding,,69,1762415067297,soft_skills
Relationship Management,Outstanding,,69,1762415067297,soft_skills
Leadership,Outstanding,,70,1762418593592,soft_skills
Communication,Strong,,70,1762418593592,soft_skills
Teamwork,Strong,,70,1762418593592,soft_skills
Analytical,Advanced,,21,1762786886281,soft_skills
Meticulous,Advanced,,21,1762786886281,soft_skills
Mentoring,Advanced,,21,1762786886281,soft_skills
Attention to detail,Intermediate,,71,1762829598215,soft_skills
Analytical thinking,Intermediate,,71,1762829598215,soft_skills
Team collaboration,Intermediate,,71,1762829598215,soft_skills
Problem-solving,Intermediate,,71,1762829598215,soft_skills
Presentation,Advanced,,72,1762999432595,soft_skills
Customer Relationship Management,Advanced,,72,1762999432595,soft_skills
Resilience,Intermediate,,72,1762999432595,soft_skills
Emotional Intelligence,Intermediate,,72,1762999432595,soft_skills
Bilingual Communication,Advanced,,73,1763011378910,soft_skills
Adaptability,Advanced,,73,1763011378910,soft_skills
Collaboration,Intermediate,,73,1763011378910,soft_skills
Communication,Expert,,4,1763426338160,soft_skills
Leadership,Advanced,,4,1763426338160,soft_skills
Negotiation,Advanced,,4,1763426338160,soft_skills
Problem Solving,Advanced,,4,1763426338160,soft_skills
Teamwork,Expert,,74,1763439292146,soft_skills
Interpersonal,Expert,,74,1763439292146,soft_skills
Multi-tasking,Expert,,74,1763439292146,soft_skills
Planning,Expert,,74,1763439292146,soft_skills
Adaptability,Expert,,74,1763439292146,soft_skills
Problem Solving,Expert,,74,1763439292146,soft_skills
Communication,Expert,,74,1763439292146,soft_skills
Leadership,Intermediate,,74,1763439292146,soft_skills
Training 1-1 and Group,Intermediate,,74,1763439292146,soft_skills
Creativity,Intermediate,,74,1763439292146,soft_skills
Presentation,Intermediate,,74,1763439292146,soft_skills
Teamwork,Advanced,,74,1763439405082,soft_skills
Interpersonal,Advanced,,74,1763439405082,soft_skills
Multi-tasking,Advanced,,74,1763439405082,soft_skills
Planning,Advanced,,74,1763439405082,soft_skills
Adaptability,Advanced,,74,1763439405082,soft_skills
Problem Solving,Advanced,,74,1763439405082,soft_skills
Communication,Advanced,,74,1763439405082,soft_skills
Creativity,Intermediate,,74,1763439405082,soft_skills
Leadership,Intermediate,,74,1763439405082,soft_skills
Presentation,Intermediate,,74,1763439405082,soft_skills
Training,Intermediate,,74,1763439405082,soft_skills
Communication,Intermediate,,75,1763599294846,soft_skills
Presentation,Intermediate,,75,1763599294846,soft_skills
Creativity,Intermediate,,75,1763599294846,soft_skills
Analytical skills,Intermediate,,75,1763599294846,soft_skills
Stakeholder management,Advanced,,76,1763718531144,soft_skills
Agile facilitation,Advanced,,76,1763718531144,soft_skills
Communication,Advanced,,76,1763718531144,soft_skills
Product strategy,Advanced,,76,1763718531144,soft_skills
Problem-solving,Advanced,,77,1763978959692,soft_skills
Customer service,Advanced,,77,1763978959692,soft_skills
Adaptability,Advanced,,77,1763978959692,soft_skills
Communication,Advanced,,77,1763978959692,soft_skills
Attention to detail,Advanced,,78,1764037995543,soft_skills
Problem-solving,Intermediate,,78,1764037995543,soft_skills
Communication,Intermediate,,78,1764037995543,soft_skills
Attention to detail,Advanced,,78,1764120241069,soft_skills
Collaboration,Advanced,,78,1764120241069,soft_skills
Communication,Intermediate,,78,1764120241069,soft_skills
Problem-solving,Intermediate,,78,1764120241069,soft_skills
Adaptability,Intermediate,,78,1764120241069,soft_skills
